Date,Permit Type Definition,delta_monthly,delta_quarterly,delta_yearly,delta_fiveyearly
2005-01-01,new construction wood frame,1049,2039,500,850
2005-02-01,new construction wood frame,500,2100,600,100
2005-03-01,new construction wood frame,600,1800,550,850
2005-04-01,new construction wood frame,700,1900,400,300
2005-05-01,new construction wood frame,800,1700,430,850
2005-06-01,new construction wood frame,900,1600,400,850
2005-07-01,new construction wood frame,1000,1500,500,900
2005-08-01,new construction wood frame,1110,1400,500,850
2005-09-01,new construction wood frame,1200,1300,500,850
2005-10-01,new construction wood frame,1300,1200,500,1000
2005-11-01,new construction wood frame,1400,2200,500,850
2005-12-01,new construction wood frame,1500,3000,500,850
2005-01-01,new construction,1049,2039,500,500
2005-02-01,new construction,1049,2039,500,600
2005-03-01,new construction,1049,2039,500,850
2005-04-01,new construction,1049,2039,500,1100
2005-05-01,new construction,1049,2039,500,850
2005-06-01,new construction,1049,2039,500,850
2005-07-01,new construction,1049,2039,500,1000
2005-08-01,new construction,1049,2039,500,850
2005-09-01,new construction,1049,2039,500,850
2005-10-01,new construction,1049,2039,500,1200
2005-11-01,new construction,1049,2039,500,850
2005-12-01,new construction,1049,2039,500,850
